m/z (positive mode),RT,R1a_0.5h,R1b_0.5h,R1c_0.5h,R2a_0.5h,R2b_0.5h,R2c_0.5h,R3a_0.5h,R3b_0.5h,R3c_0.5h,R1a_4h,R1b_4h,R1c_4h,R2a_4h,R2b_4h,R2c_4h,R3a_4h,R3b_4h,R3c_4h,R1a_24h,R1b_24h,R1c_24h,R2a_24h,R2b_24h,R2c_24h,R3a_24h,R3b_24h,R3c_24h,R1a_48h,R1b_48h,R1c_48h,R2a_48h,R2b_48h,R2c_48h,R3a_48h,R3b_48h,R3c_48h,A1a_0.5h,A1b_0.5h,A1c_0.5h,A2a_0.5h,A2b_0.5h,A2c_0.5h,A3a_0.5h,A3b_0.5h,A3c_0.5h,A1a_4h,A1b_4h,A1c_4h,A2a_4h,A2b_4h,A2c_4h,A3a_4h,A3b_4h,A3c_4h,A1a_24h,A1b_24h,A1c_24h,A2a_24h,A2b_24h,A2c_24h,A3a_24h,A3b_24h,A3c_24h,A1a_48h,A1b_48h,A1c_48h,A2a_48h,A2b_48h,A2c_48h,A3a_48h,A3b_48h,A3c_48h
565.41988,23.24,100285.6875,96951.67857,100958.3214,29428.16071,25301.31696,43331.91964,10290.26786,2148.571429,10238.23549,32195.38281,30383.89258,33788.69141,34621.41016,56545.44531,40105.58594,26120.99609,25305.48242,25575.00781,21421.86719,19351.55664,4389,16744.48242,15703.1709,3508,19992.78516,19063.22656,18663.12109,18949.48828,16688.54883,18227.30859,6220.085938,6824.462891,6328.950684,4880.932129,5434.266113,5630.10498,1448.366629,0,1383.670898,2815.969308,2870.611328,3041.791016,3608.558315,3885.970703,3583.108259,2603.019775,2777.129639,2709.324951,5894.92627,6076.258301,5692.875977,11024.77344,10598.65723,11662.19238,2200.60083,2526.156494,529,631,2500.004883,777,5359.431152,5958.34082,6092.086914,2441.889893,2592.521484,3023.803711,10670.88184,9375.870117,2167,7248.884277,6750.64209,7134.480957
565.42058,256.86,440076.3214,424474.6071,423963.8214,278017.7679,311116,298788.9821,88680.125,92483.83036,102099.5089,172852.0781,169731.375,171872.9375,291740.5313,299545.375,294113.3125,181737.4531,199270.5938,181747.9219,99893.39063,98487.54688,103484.0391,59158.09766,55965.96484,57092.08203,55302.4375,47183.45703,53475.49219,73259.82813,62416.53516,68035.53125,14702.71094,16456.08008,14335.54395,17137.95703,16011.02246,15667.53125,5613.063058,5797.253348,5936.763951,12424.06362,12671.78795,11892.19085,23453.10045,22615.08705,24142.26786,9300.790039,8401.522461,9196.513672,25035.73438,23125.0293,21974.70117,44293.77344,48024.59375,47239.80469,4308.896973,4364.148438,5045.146484,2922.500977,713,3701.74585,19859.78125,21789.27344,19260.74414,5766.186035,7225.697754,7089.480469,27263.94727,28396.5957,7697,14362.37207,14246.40039,16493.60547
566.30676,945.32,8911.8125,434.2857143,8855.224888,413.7142857,9897.606027,0,420,432,372.5714286,15035.34668,885,19026.49609,19650.2207,16276.0752,16822.22266,16859.12305,682,16313.92578,730,705,722,701,14900.73633,738,779,752,738,786,0,683,683,14835.28027,672,752,16362.25391,15882.52148,419.4285714,440,400.5714286,9461.235491,402.2857143,9052.544085,0,465.1428571,396.5714286,773,739,744,714,745,0,754,739,635,691,764,677,755,0,16295.20996,747,697,775,755,680,16667.29492,717,15202.85156,14950.81738,17385.02344,15584.55273,769
566.32849,21.71,1063.428571,1134.285714,1186.285714,545.7142857,562.2857143,576.5714286,322.2857143,205.1428571,290.8571429,586,627,573,585,563,699,415,422,363,243,344,333,279,293,236,351,331,309,337,360,300,0,264,191,0,226,0,0,121.7142857,96.57142857,116.5714286,0,0,108.5714286,163.4285714,173.1428571,0,240,154,190,199,290,239,211,234,0,0,0,114,133,211,199,217,219,184,181,212,211,241,226,289,268,225
566.3296,219.3,12861.71429,13880.57143,13457.71429,5346.285714,5369.142857,5305.714286,1764.571429,1905.142857,1918.857143,5911,5703,6162,6682,6924,6309,3393,4057,3429,3516,4012,4103,1884,1975,1893,1592,1762,1931,2521,2304,2189,635,711,670,668,985,1040,340,278.8571429,317.1428571,553.1428571,560.5714286,626.8571429,699.4285714,679.4285714,688,570,527,522,933,906,943,1574,1559,1933,443,553,442,0,0,268,1075,1165,983,516,502,625,1007,1191,1185,776,687,785
566.42438,23.22,7053.142857,7132,7029.714286,3352,3386.857143,3565.714286,872,4032.400949,818.2857143,2489,2219,2188,4271,3958,4607,1934,1673,2039,1468,1492,7673.536621,1149,1318,5731.694824,1683,1487,1397,1411,1325,1249,573,2445.947266,589,455,1706.387329,487,0,124,146.2857143,241.7142857,280.5714286,251.4285714,1268.308175,342.2857143,308.5714286,378,295,271,483,519,497,1024,932,894,277,0,324,407,255,0,457,2272.62793,2366.601074,328,0,322,893,787,3501.310547,575,576,591
567.18367,1166.84,738.8571429,781.1428571,8705.733817,444,3927.111049,4860.93192,0,172,166.8571429,6555.150879,6067.226563,6597.005859,698,0,602,9273.482422,9323.444336,1071,0,0,0,0,280,249,6163.549316,0,799,293,371,0,0,431,0,15350.07031,13976.58887,11592.04785,430.8571429,530.8571429,4479.384766,3716.700056,420,3585.518136,338.8571429,3441.256696,2407.433594,909,1028,8413.333984,4688.755859,0,6360.991211,395,0,0,4051.138184,487,4400.271973,8853.544922,7522.143555,8636.345703,1102,9822.080078,9643.541992,729,7078.268066,815,0,356,0,0,0,0
567.33928,21.4,460,0,0,2466.373047,549.1428571,0,0,489.1428571,477.1428571,745,786,3318.170166,1127,1015,944,1001,5094.050781,1027,1110,966,4567.693359,5134.090332,5342.132813,1042,4001.843994,4062.845459,811,4130.334961,4231.720703,3975.104004,1041,4389.246582,4392.541504,1003,4494.133789,1078,0,0,370.8571429,0,0,372,455.4285714,2379.508092,460,647,0,0,0,0,655,685,0,0,1103,1033,890,5183.086914,4835.717773,1114,2946.327393,1001,4454.92627,0,0,0,3004.20752,0,0,696,0,0
567.47203,943.74,102.8571429,72.57142857,91.42857143,167.4285714,168,176.5714286,158.8571429,273.7142857,216,417,296,344,419,316,306,299,331,289,339,276,345,206,210,310,228,216,0,159,164,178,204,118,145,0,161,112,3505.604353,3610.404576,396.5714286,2431.832589,2329.683454,2068.271903,3868.904297,7829.949219,4346.590681,315,413,450,465,427,430,324,473,1825.058594,4046.200439,475,3898.894531,4706.954102,4540.694824,4800.32959,4573.026855,4432.931641,484,376,433,1434.590698,393,310,433,376,338,351
570.25392,238.14,1112.84089,0,232,1917.396624,1459.412667,1663.180525,4139.623884,2147.806222,2162.283622,2528.014404,4036.726074,4988.481445,433,2177.958496,3314.079102,736,3391.687256,8308.482422,649,8099.595703,7163.379883,6085.902832,3058.707031,2500.799805,472,4056.162598,3488.410156,424,0,2984.567871,4535.643555,549,420,2400.358643,2293.267822,1932.109131,932.750279,1612.216239,1193.274275,264,195.4285714,325.7142857,1648.651367,1459.976702,2266.240374,418,406,334,498,481,416,497,546,1733.81604,494,476,486,307,323,368,2687.685547,2603.486572,2359.157227,442,386,324,478,464,412,407,381,376
