"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.51",47.7710749295138,-0.840277352721311,1.7831904779246,-0.471221309850916,0.637482702549788,0.82978746080115
"MSTRG.52",1370.01385675009,0.385346161285403,0.580693522007358,0.663596452657725,0.506948628318003,0.745459342535597
"MSTRG.53",804.183052866708,7.91868600282987,1.39637448511446,5.67088992762622,1.42057651117363e-08,8.47046346662497e-07
"MSTRG.55",22.7828218692244,4.13966910592563,2.01073934252363,2.05877958339943,NA,NA
"MSTRG.54",691.445687447562,-0.235875398548127,0.85193281459918,-0.276870892288733,0.781879243771949,0.905855868048685
"MSTRG.68",2.3283950297036,-1.44806299904302,3.02549112204916,-0.478620805888286,NA,NA
"MSTRG.67",319.828948407731,-0.0630339365521752,1.28531690040362,-0.0490415527348789,0.960886181467094,0.985550639601008
"MSTRG.69",41.8230531293439,6.53430747381016,2.20903916117545,2.95798625422882,0.0030965593197471,0.0273276109291792
"MSTRG.62",5.32916991042428,-5.06034592786878,3.02146045903547,-1.67480130767099,NA,NA
"MSTRG.56",490.341704336296,8.37771945654965,1.51268272285539,5.53831899443895,3.05388647581647e-08,1.73905952151141e-06
"MSTRG.57",703.487735351917,-0.35070790301887,0.54802432138598,-0.639949522918823,0.522205416304371,0.756348364781075
"MSTRG.58",10.1142243462056,4.83485126449565,3.02866985474657,1.59636127289292,NA,NA
"MSTRG.59",335.805973421509,-0.027063210734136,1.03291930383245,-0.0262007018686969,0.979097256065511,0.992069576172028
"MSTRG.60",386.989910658104,0.196823265339521,1.40423050782838,0.140164498807183,0.888530020805082,0.956667303434345
"MSTRG.61",120.363208811124,2.78828060662552,1.3330290240096,2.09168784505434,0.0364664485324084,0.160541656354612
"MSTRG.63",618.543300392718,-3.93411552758599,1.05286408809639,-3.73658440065042,0.000186536855311326,0.00288530393941228
"MSTRG.64",277.914669758204,2.97161116884953,1.18647622071012,2.504568668954,0.012260080385988,0.0767622443318551
"MSTRG.65",190.139968753596,-0.634346226106914,1.11892842802723,-0.566922968634663,0.570766518358541,0.787292471924978
"MSTRG.66",982.863599962283,0.112183435310677,0.98520660619174,0.113867928417894,0.909342489583201,0.964155970556861
"MSTRG.70",355.745483784735,1.82423473884656,0.995672960754573,1.83216257822655,0.0669272023477645,0.239182735034757
"MSTRG.71",260.543257595869,4.16415859399478,1.31953640105091,3.15577394506005,NA,NA
"MSTRG.72",19196.9958085007,-2.12189522257197,0.612305840324556,-3.4654172520178,0.000529409414737987,0.00663664874161738
"MSTRG.85",521.589544522981,-1.57001198376439,0.934499471820284,-1.68005657692476,0.0929463083873082,0.2912925155014
"MSTRG.86",843.78250479207,-1.82510577296239,0.69883873183922,-2.61162653100098,0.00901126348210126,0.0609650912122406
"MSTRG.87",472.256021921337,0.479978093276716,1.06074128007806,0.452493084120752,NA,NA
"MSTRG.89",62.5432566432876,-1.88567087717818,1.41641888936902,-1.33129464124712,0.183092080786785,0.438689083009436
"MSTRG.74",25.3003961259709,-1.55381955824123,2.67434322316114,-0.581009776450672,0.561233864546965,0.780976942346611
"MSTRG.82",1.02656826097945,-2.8344494742471,3.06200867624133,-0.92568303161258,NA,NA
"MSTRG.73",1256.53584601522,0.807913647817507,0.995605142861841,0.811479986428334,0.417090081562264,0.6771074805999
"MSTRG.75",6.78625758404814,4.44266783588482,3.00304447922978,1.47938795665933,NA,NA
"MSTRG.77",993.094973293093,3.09160146027428,0.880387623633938,3.51163666694133,0.000445356409577902,0.00581076763227183
"MSTRG.76",23.6295963995414,3.89268146934532,1.43239824248597,2.71759721136592,0.00657578352939503,0.0485401647570737
"MSTRG.78",3574.12364749164,-1.0686468239727,0.757569108788827,-1.41062618786187,0.158354865642375,0.403620773823356
"MSTRG.79",306.986312877676,-1.08684548242699,0.894846455616176,-1.21456086192866,0.22453362378438,0.488918248346386
"MSTRG.80",487.93950944129,0.613868895396535,1.35459019481159,0.453176833663645,NA,NA
"MSTRG.81",512.734399798084,1.72267354615442,1.04321178472424,1.65131718350919,0.0986738253429465,0.302541414817798
"MSTRG.83",2049.324164306,0.548663451620258,0.572358390698649,0.958601220033714,0.337759677710528,0.610481917872273
"MSTRG.84",273.665998322115,-0.776936174899731,1.30507568452352,-0.595318864731885,0.551630348244506,0.776058930024177
"MSTRG.90",1236.85972232578,0.719217247294166,0.937805356243932,0.766915269256674,NA,NA
"MSTRG.91",146.867881006762,-1.26146345661234,1.22603850715706,-1.02889383102446,0.303529567564591,0.577453837581965
"MSTRG.92",174.995567568121,4.26569800999292,1.4813330747934,2.87963462274536,NA,NA
"MSTRG.94",1274.98982147152,-1.0344414671567,0.921246513660201,-1.1228715135613,0.26149206747293,0.53387136527716
"MSTRG.96",262.798364491779,-1.37320187995453,1.53176811919683,-0.896481564503746,0.369995622104732,0.639011264866862
"MSTRG.97",462.477563629206,0.151041026727298,1.21947688130286,0.123857228491228,0.901428318824271,0.960344111556167
"MSTRG.109",3.49248437700215,-3.59142195800743,3.04269324239207,-1.18034309471959,0.237863784759571,NA
