MSTRG.464	MSTRG.464.1
MSTRG.465	MSTRG.465.1
MSTRG.466	MSTRG.466.1
MSTRG.467	MSTRG.467.1
MSTRG.468	MSTRG.468.1
MSTRG.469	MSTRG.469.1
MSTRG.470	MSTRG.470.1
MSTRG.471	MSTRG.471.1
MSTRG.472	MSTRG.472.1
MSTRG.473	MSTRG.473.1
MSTRG.475	MSTRG.475.1
MSTRG.474	MSTRG.474.1
MSTRG.476	MSTRG.476.1
MSTRG.477	MSTRG.477.1
MSTRG.478	MSTRG.478.1
MSTRG.479	MSTRG.479.1
MSTRG.480	MSTRG.480.1
MSTRG.481	MSTRG.481.1
MSTRG.482	MSTRG.482.1
MSTRG.483	MSTRG.483.1
MSTRG.484	MSTRG.484.1
MSTRG.486	MSTRG.486.1
MSTRG.485	MSTRG.485.1
MSTRG.487	MSTRG.487.1
MSTRG.488	MSTRG.488.1
MSTRG.489	MSTRG.489.1
MSTRG.490	MSTRG.490.1
MSTRG.491	MSTRG.491.1
MSTRG.492	MSTRG.492.1
MSTRG.493	MSTRG.493.1
MSTRG.494	MSTRG.494.1
MSTRG.496	MSTRG.496.1
MSTRG.495	MSTRG.495.1
MSTRG.497	MSTRG.497.1
MSTRG.498	MSTRG.498.1
MSTRG.499	MSTRG.499.1
MSTRG.500	MSTRG.500.1
MSTRG.501	MSTRG.501.1
MSTRG.502	MSTRG.502.1
MSTRG.503	MSTRG.503.1
MSTRG.504	MSTRG.504.1
MSTRG.505	MSTRG.505.1
MSTRG.506	MSTRG.506.1
MSTRG.507	MSTRG.507.1
MSTRG.508	MSTRG.508.1
MSTRG.509	MSTRG.509.1
MSTRG.511	MSTRG.511.1
MSTRG.510	MSTRG.510.1
MSTRG.512	MSTRG.512.1
MSTRG.513	MSTRG.513.1
MSTRG.514	MSTRG.514.1
MSTRG.515	MSTRG.515.1
MSTRG.516	MSTRG.516.1
MSTRG.517	MSTRG.517.1
MSTRG.520	MSTRG.520.1
MSTRG.521	MSTRG.521.1
MSTRG.521	MSTRG.521.2
MSTRG.518	MSTRG.518.1
MSTRG.519	MSTRG.519.1
MSTRG.522	MSTRG.522.1
MSTRG.523	MSTRG.523.1
MSTRG.524	MSTRG.524.1
MSTRG.525	MSTRG.525.1
MSTRG.526	MSTRG.526.1
MSTRG.527	MSTRG.527.1
MSTRG.528	MSTRG.528.1
MSTRG.530	MSTRG.530.1
MSTRG.529	MSTRG.529.1
MSTRG.531	MSTRG.531.1
MSTRG.532	MSTRG.532.1
MSTRG.533	MSTRG.533.1
MSTRG.534	MSTRG.534.1
MSTRG.535	MSTRG.535.1
MSTRG.536	MSTRG.536.1
MSTRG.537	MSTRG.537.1
MSTRG.538	MSTRG.538.1
MSTRG.539	MSTRG.539.1
MSTRG.540	MSTRG.540.1
MSTRG.541	MSTRG.541.1
MSTRG.542	MSTRG.542.1
MSTRG.543	MSTRG.543.1
MSTRG.545	MSTRG.545.1
MSTRG.544	MSTRG.544.1
MSTRG.546	MSTRG.546.1
MSTRG.547	MSTRG.547.1
MSTRG.548	MSTRG.548.1
MSTRG.549	MSTRG.549.1
MSTRG.550	MSTRG.550.1
MSTRG.551	MSTRG.551.1
MSTRG.552	MSTRG.552.1
MSTRG.553	MSTRG.553.1
MSTRG.554	MSTRG.554.1
MSTRG.555	MSTRG.555.1
MSTRG.556	MSTRG.556.1
MSTRG.557	MSTRG.557.1
MSTRG.558	MSTRG.558.1
MSTRG.559	MSTRG.559.1
MSTRG.560	MSTRG.560.1
MSTRG.562	MSTRG.562.1
MSTRG.561	MSTRG.561.1
MSTRG.563	MSTRG.563.1
MSTRG.564	MSTRG.564.1
MSTRG.565	MSTRG.565.1
MSTRG.566	MSTRG.566.1
MSTRG.567	MSTRG.567.1
MSTRG.568	MSTRG.568.1
MSTRG.569	MSTRG.569.1
MSTRG.570	MSTRG.570.1
MSTRG.571	MSTRG.571.1
MSTRG.572	MSTRG.572.1
MSTRG.573	MSTRG.573.1
MSTRG.575	MSTRG.575.1
MSTRG.574	MSTRG.574.1
MSTRG.576	MSTRG.576.1
MSTRG.577	MSTRG.577.1
MSTRG.578	MSTRG.578.1
MSTRG.579	MSTRG.579.1
MSTRG.580	MSTRG.580.1
MSTRG.581	MSTRG.581.1
MSTRG.582	MSTRG.582.1
MSTRG.584	MSTRG.584.1
MSTRG.583	MSTRG.583.1
MSTRG.585	MSTRG.585.1
MSTRG.586	MSTRG.586.1
MSTRG.587	MSTRG.587.1
MSTRG.588	MSTRG.588.1
MSTRG.589	MSTRG.589.1
