"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.71",118.899610707383,2.69296164056315,0.927723638287685,2.90276277268691,0.00369886706516338,0.0234261580793681
"MSTRG.72",19975.7859453058,-3.24923644669278,0.752599320118062,-4.31735235448136,1.57911968649172e-05,0.000246309290514171
"MSTRG.85",696.525784219421,-2.60728886497075,1.39266423931975,-1.8721589823002,0.06118461190832,0.199200349990874
"MSTRG.86",663.172897673368,-1.30030524612736,0.985042322107241,-1.32005013078595,0.186818281170503,0.413519116748192
"MSTRG.87",481.85632480858,-0.574636033633313,1.58543706783627,-0.362446447917071,NA,NA
"MSTRG.89",91.4572891647363,-0.419092365535712,1.99534629430803,-0.210034903079843,0.833640431848133,0.929310871559882
"MSTRG.74",50.1960777267024,1.03225915439255,3.11868627087475,0.330991662750038,0.740650783116399,0.883207544549286
"MSTRG.82",0,NA,NA,NA,NA,NA
"MSTRG.73",1727.57023313528,0.849710987429444,1.68812627043121,0.503345633743615,0.614721287848918,0.817867573729858
"MSTRG.75",12.8994915994246,6.61811885025159,3.90874090813826,1.69315874492275,NA,NA
"MSTRG.77",307.391076608327,2.07376137534331,1.06508596840635,1.94703661193303,0.0515303454891749,0.177501113638533
"MSTRG.76",17.3335095005464,7.04434251714537,2.63655882867904,2.67179417372406,0.0075446909903506,0.0415494532273894
"MSTRG.78",5011.01022992387,-0.417029419827377,0.734103750144392,-0.568079675039598,0.56998086814381,0.785893316353983
"MSTRG.79",336.916884083054,-0.424995604549593,1.03259369013956,-0.411580671669756,0.680646800909585,0.853964572895389
"MSTRG.80",286.005550737975,-1.3622442896627,1.86812032064082,-0.729205862497877,0.465875745657949,0.710294466801508
"MSTRG.81",428.662479538287,-0.706571721546567,0.889826468030153,-0.794055635488946,0.427163043288394,0.679240260339678
"MSTRG.83",2202.31714892636,0.18994832448126,0.726580261632918,0.261427862152999,0.793762573018669,0.90802661978533
"MSTRG.84",343.58406601508,-0.509664065641256,1.86296155786999,-0.273577338989205,0.784409450689313,0.903270598798537
"MSTRG.90",680.317813010494,-0.732578891083368,1.14277618267327,-0.641051941920649,0.521488936428425,0.754516076169925
"MSTRG.91",98.5715541845985,-0.304306993210095,1.78362856396177,-0.170611190781881,0.864529497976039,0.940490174336359
"MSTRG.92",206.577422251434,3.3766224535031,1.77180104592171,1.90575711718611,0.0566817249900065,0.188701396681752
"MSTRG.94",1660.39912990177,-1.30093403271804,0.70333872315078,-1.84965506646667,0.0643632806393844,0.205848840301808
